v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),lambda(nm),QE(%),photon energy (eV)
-0.170754,3.41508632e+01,1.94326984e+00,3.61130338e+01,9.79748677e-02,1.70842495e+00,1.28607835e-01,8.26218419e-03,9.65353213e-02,1.43954638e-03,0.00000000e+00,300.000000,1.330424e+01,4.133257
-0.150482,3.40963611e+01,1.97776893e+00,3.61130338e+01,1.01493402e-01,1.73939651e+00,1.28616792e-01,8.26222764e-03,9.99557102e-02,1.53769181e-03,0.00000000e+00,310.000000,1.636404e+01,3.999926
-0.130201,3.40402686e+01,2.01386146e+00,3.61130338e+01,1.05273463e-01,1.77169990e+00,1.28625832e-01,8.26227118e-03,1.03628764e-01,1.64469855e-03,0.00000000e+00,320.000000,2.039543e+01,3.874928
-0.109912,3.39824546e+01,2.05167542e+00,3.61130338e+01,1.09341397e-01,1.80543674e+00,1.28634960e-01,8.26231496e-03,1.07579899e-01,1.76149780e-03,0.00000000e+00,330.000000,2.598913e+01,3.757506
-0.089614,3.39227773e+01,2.09135273e+00,3.61130338e+01,1.13726747e-01,1.84071944e+00,1.28644182e-01,8.26235911e-03,1.11837616e-01,1.88913112e-03,0.00000000e+00,340.000000,3.452810e+01,3.646991
-0.069305,3.38610784e+01,2.13305162e+00,3.61130338e+01,1.18462672e-01,1.87767304e+00,1.28653503e-01,8.26240380e-03,1.16433908e-01,2.02876343e-03,0.00000000e+00,350.000000,5.136054e+01,3.542791
-0.048986,3.37971811e+01,2.17694897e+00,3.61130338e+01,1.23586451e-01,1.91643714e+00,1.28662929e-01,8.26244919e-03,1.21404752e-01,2.18169944e-03,0.00000000e+00,360.000000,8.166690e+01,3.444381
-0.028654,3.37308867e+01,2.22324329e+00,3.61130338e+01,1.29140089e-01,1.95716824e+00,1.28672465e-01,8.26249547e-03,1.26790686e-01,2.34940262e-03,0.00000000e+00,370.000000,8.391478e+01,3.351289
-0.008310,3.36619717e+01,2.27215827e+00,3.61130338e+01,1.35171004e-01,2.00004260e+00,1.28682118e-01,8.26254284e-03,1.32637487e-01,2.53351706e-03,0.00000000e+00,380.000000,8.691424e+01,3.263097
0.012049,3.35901827e+01,2.32394727e+00,3.61130338e+01,1.41732855e-01,2.04525993e+00,1.28691896e-01,8.26259154e-03,1.38996962e-01,2.73589299e-03,0.00000000e+00,390.000000,9.258284e+01,3.179428
