band gap[eV],electron affinity[eV],source_file,simulation_step,eta(%),thickness[µm],dielectric permittivity (relative)
1.2,3.97,bandGap+ElectronAffinity.iv,1,11.2707,,
1.2,4.066,bandGap+ElectronAffinity.iv,2,13.7137,,
1.2,4.165,bandGap+ElectronAffinity.iv,3,15.1046,,
1.2,4.266,bandGap+ElectronAffinity.iv,4,14.6904,,
1.2,4.37,bandGap+ElectronAffinity.iv,5,12.6652,,
1.247,3.97,bandGap+ElectronAffinity.iv,6,12.0523,,
1.247,4.066,bandGap+ElectronAffinity.iv,7,14.3163,,
1.247,4.165,bandGap+ElectronAffinity.iv,8,15.3456,,
1.247,4.266,bandGap+ElectronAffinity.iv,9,14.6231,,
1.247,4.37,bandGap+ElectronAffinity.iv,10,12.3037,,
1.296,3.97,bandGap+ElectronAffinity.iv,11,12.7704,,
1.296,4.066,bandGap+ElectronAffinity.iv,12,14.7451,,
1.296,4.165,bandGap+ElectronAffinity.iv,13,15.3602,,
1.296,4.266,bandGap+ElectronAffinity.iv,14,14.3516,,
1.296,4.37,bandGap+ElectronAffinity.iv,15,11.8332,,
1.347,3.97,bandGap+ElectronAffinity.iv,16,13.3373,,
1.347,4.066,bandGap+ElectronAffinity.iv,17,14.8972,,
1.347,4.165,bandGap+ElectronAffinity.iv,18,15.1387,,
1.347,4.266,bandGap+ElectronAffinity.iv,19,13.819,,
1.347,4.37,bandGap+ElectronAffinity.iv,20,11.319,,
1.4,3.97,bandGap+ElectronAffinity.iv,21,13.5462,,
1.4,4.066,bandGap+ElectronAffinity.iv,22,14.6721,,
1.4,4.165,bandGap+ElectronAffinity.iv,23,14.6097,,
1.4,4.266,bandGap+ElectronAffinity.iv,24,13.0536,,
1.4,4.37,bandGap+ElectronAffinity.iv,25,10.7217,,
1.2,,thickness+bandgap.iv,26,15.5576,0.5,
1.247,,thickness+bandgap.iv,27,15.8325,0.5,
1.296,,thickness+bandgap.iv,28,15.9707,0.5,
1.347,,thickness+bandgap.iv,29,15.947,0.5,
1.4,,thickness+bandgap.iv,30,15.5503,0.5,
1.2,,thickness+bandgap.iv,31,15.9223,0.658,
1.247,,thickness+bandgap.iv,32,16.3482,0.658,
1.296,,thickness+bandgap.iv,33,16.7027,0.658,
1.347,,thickness+bandgap.iv,34,16.9359,0.658,
1.4,,thickness+bandgap.iv,35,16.773,0.658,
1.2,,thickness+bandgap.iv,36,16.1368,0.866,
1.247,,thickness+bandgap.iv,37,16.7262,0.866,
1.296,,thickness+bandgap.iv,38,17.2498,0.866,
1.347,,thickness+bandgap.iv,39,17.6615,0.866,
1.4,,thickness+bandgap.iv,40,17.6309,0.866,
1.2,,thickness+bandgap.iv,41,16.2376,1.14,
1.247,,thickness+bandgap.iv,42,16.9456,1.14,
1.296,,thickness+bandgap.iv,43,17.5749,1.14,
1.347,,thickness+bandgap.iv,44,18.1083,1.14,
1.4,,thickness+bandgap.iv,45,18.1835,1.14,
1.2,,thickness+bandgap.iv,46,16.2554,1.5,
1.247,,thickness+bandgap.iv,47,17.0386,1.5,
1.296,,thickness+bandgap.iv,48,17.7246,1.5,
1.347,,thickness+bandgap.iv,49,18.3344,1.5,
1.4,,thickness+bandgap.iv,50,18.4769,1.5,
,,thickness+dielectricPermitivity.iv,51,16.5568,0.5,3.2
,,thickness+dielectricPermitivity.iv,52,16.3709,0.5,4.56
,,thickness+dielectricPermitivity.iv,53,16.1311,0.5,6.499
,,thickness+dielectricPermitivity.iv,54,15.8783,0.5,9.262
,,thickness+dielectricPermitivity.iv,55,15.4735,0.5,13.2
,,thickness+dielectricPermitivity.iv,56,17.3863,0.658,3.2
,,thickness+dielectricPermitivity.iv,57,17.2028,0.658,4.56
,,thickness+dielectricPermitivity.iv,58,16.9641,0.658,6.499
,,thickness+dielectricPermitivity.iv,59,16.6229,0.658,9.262
,,thickness+dielectricPermitivity.iv,60,16.2108,0.658,13.2
,,thickness+dielectricPermitivity.iv,61,17.9689,0.866,3.2
,,thickness+dielectricPermitivity.iv,62,17.7522,0.866,4.56
,,thickness+dielectricPermitivity.iv,63,17.5157,0.866,6.499
,,thickness+dielectricPermitivity.iv,64,17.1765,0.866,9.262
,,thickness+dielectricPermitivity.iv,65,16.7168,0.866,13.2
,,thickness+dielectricPermitivity.iv,66,18.338,1.14,3.2
,,thickness+dielectricPermitivity.iv,67,18.0909,1.14,4.56
,,thickness+dielectricPermitivity.iv,68,17.8486,1.14,6.499
,,thickness+dielectricPermitivity.iv,69,17.5074,1.14,9.262
,,thickness+dielectricPermitivity.iv,70,17.0261,1.14,13.2
,,thickness+dielectricPermitivity.iv,71,18.5085,1.5,3.2
,,thickness+dielectricPermitivity.iv,72,18.258,1.5,4.56
,,thickness+dielectricPermitivity.iv,73,18.0081,1.5,6.499
,,thickness+dielectricPermitivity.iv,74,17.6628,1.5,9.262
,,thickness+dielectricPermitivity.iv,75,17.1741,1.5,13.2
,,thickness.iv,1,15.9759,0.5,
,,thickness.iv,2,16.2104,0.5408,
,,thickness.iv,3,16.4396,0.585,
,,thickness.iv,4,16.6575,0.6327,
,,thickness.iv,5,16.8516,0.6844,
,,thickness.iv,6,17.0244,0.7402,
,,thickness.iv,7,17.1769,0.8007,
,,thickness.iv,8,17.3101,0.866,
,,thickness.iv,9,17.4258,0.9367,
,,thickness.iv,10,17.5242,1.013,
,,thickness.iv,11,17.6067,1.096,
,,thickness.iv,12,17.6737,1.185,
,,thickness.iv,13,17.7282,1.282,
,,thickness.iv,14,17.7693,1.387,
,,thickness.iv,15,17.7987,1.5,
