source_file,simulation_step,eta(%),band gap[eV],electron affinity[eV],thickness[µm]
thickness+bandgap.iv,1,11.2707,1.2,3.97,
thickness+bandgap.iv,2,13.7137,1.2,4.066,
thickness+bandgap.iv,3,15.1046,1.2,4.165,
thickness+bandgap.iv,4,14.6904,1.2,4.266,
thickness+bandgap.iv,5,12.6652,1.2,4.37,
thickness+bandgap.iv,6,12.0523,1.247,3.97,
thickness+bandgap.iv,7,14.3163,1.247,4.066,
thickness+bandgap.iv,8,15.3456,1.247,4.165,
thickness+bandgap.iv,9,14.6231,1.247,4.266,
thickness+bandgap.iv,10,12.3037,1.247,4.37,
thickness+bandgap.iv,11,12.7704,1.296,3.97,
thickness+bandgap.iv,12,14.7451,1.296,4.066,
thickness+bandgap.iv,13,15.3602,1.296,4.165,
thickness+bandgap.iv,14,14.3516,1.296,4.266,
thickness+bandgap.iv,15,11.8332,1.296,4.37,
thickness+bandgap.iv,16,13.3373,1.347,3.97,
thickness+bandgap.iv,17,14.8972,1.347,4.066,
thickness+bandgap.iv,18,15.1387,1.347,4.165,
thickness+bandgap.iv,19,13.819,1.347,4.266,
thickness+bandgap.iv,20,11.319,1.347,4.37,
thickness+bandgap.iv,21,13.5462,1.4,3.97,
thickness+bandgap.iv,22,14.6721,1.4,4.066,
thickness+bandgap.iv,23,14.6097,1.4,4.165,
thickness+bandgap.iv,24,13.0536,1.4,4.266,
thickness+bandgap.iv,25,10.7217,1.4,4.37,
thickness+bandgap.iv,26,15.5576,1.2,,0.5
thickness+bandgap.iv,27,15.8325,1.247,,0.5
thickness+bandgap.iv,28,15.9707,1.296,,0.5
thickness+bandgap.iv,29,15.947,1.347,,0.5
thickness+bandgap.iv,30,15.5503,1.4,,0.5
thickness+bandgap.iv,31,15.9223,1.2,,0.658
thickness+bandgap.iv,32,16.3482,1.247,,0.658
thickness+bandgap.iv,33,16.7027,1.296,,0.658
thickness+bandgap.iv,34,16.9359,1.347,,0.658
thickness+bandgap.iv,35,16.773,1.4,,0.658
thickness+bandgap.iv,36,16.1368,1.2,,0.866
thickness+bandgap.iv,37,16.7262,1.247,,0.866
thickness+bandgap.iv,38,17.2498,1.296,,0.866
thickness+bandgap.iv,39,17.6615,1.347,,0.866
thickness+bandgap.iv,40,17.6309,1.4,,0.866
thickness+bandgap.iv,41,16.2376,1.2,,1.14
thickness+bandgap.iv,42,16.9456,1.247,,1.14
thickness+bandgap.iv,43,17.5749,1.296,,1.14
thickness+bandgap.iv,44,18.1083,1.347,,1.14
thickness+bandgap.iv,45,18.1835,1.4,,1.14
thickness+bandgap.iv,46,16.2554,1.2,,1.5
thickness+bandgap.iv,47,17.0386,1.247,,1.5
thickness+bandgap.iv,48,17.7246,1.296,,1.5
thickness+bandgap.iv,49,18.3344,1.347,,1.5
thickness+bandgap.iv,50,18.4769,1.4,,1.5
