source_file,simulation_step,eta(%),band gap[eV],dielectric permittivity (relative),electron affinity[eV],thickness[µm]
thickness+dielectricPermitivity.iv,1,11.2707,1.2,,3.97,
thickness+dielectricPermitivity.iv,2,13.7137,1.2,,4.066,
thickness+dielectricPermitivity.iv,3,15.1046,1.2,,4.165,
thickness+dielectricPermitivity.iv,4,14.6904,1.2,,4.266,
thickness+dielectricPermitivity.iv,5,12.6652,1.2,,4.37,
thickness+dielectricPermitivity.iv,6,12.0523,1.247,,3.97,
thickness+dielectricPermitivity.iv,7,14.3163,1.247,,4.066,
thickness+dielectricPermitivity.iv,8,15.3456,1.247,,4.165,
thickness+dielectricPermitivity.iv,9,14.6231,1.247,,4.266,
thickness+dielectricPermitivity.iv,10,12.3037,1.247,,4.37,
thickness+dielectricPermitivity.iv,11,12.7704,1.296,,3.97,
thickness+dielectricPermitivity.iv,12,14.7451,1.296,,4.066,
thickness+dielectricPermitivity.iv,13,15.3602,1.296,,4.165,
thickness+dielectricPermitivity.iv,14,14.3516,1.296,,4.266,
thickness+dielectricPermitivity.iv,15,11.8332,1.296,,4.37,
thickness+dielectricPermitivity.iv,16,13.3373,1.347,,3.97,
thickness+dielectricPermitivity.iv,17,14.8972,1.347,,4.066,
thickness+dielectricPermitivity.iv,18,15.1387,1.347,,4.165,
thickness+dielectricPermitivity.iv,19,13.819,1.347,,4.266,
thickness+dielectricPermitivity.iv,20,11.319,1.347,,4.37,
thickness+dielectricPermitivity.iv,21,13.5462,1.4,,3.97,
thickness+dielectricPermitivity.iv,22,14.6721,1.4,,4.066,
thickness+dielectricPermitivity.iv,23,14.6097,1.4,,4.165,
thickness+dielectricPermitivity.iv,24,13.0536,1.4,,4.266,
thickness+dielectricPermitivity.iv,25,10.7217,1.4,,4.37,
thickness+dielectricPermitivity.iv,26,15.5576,1.2,,,0.5
thickness+dielectricPermitivity.iv,27,15.8325,1.247,,,0.5
thickness+dielectricPermitivity.iv,28,15.9707,1.296,,,0.5
thickness+dielectricPermitivity.iv,29,15.947,1.347,,,0.5
thickness+dielectricPermitivity.iv,30,15.5503,1.4,,,0.5
thickness+dielectricPermitivity.iv,31,15.9223,1.2,,,0.658
thickness+dielectricPermitivity.iv,32,16.3482,1.247,,,0.658
thickness+dielectricPermitivity.iv,33,16.7027,1.296,,,0.658
thickness+dielectricPermitivity.iv,34,16.9359,1.347,,,0.658
thickness+dielectricPermitivity.iv,35,16.773,1.4,,,0.658
thickness+dielectricPermitivity.iv,36,16.1368,1.2,,,0.866
thickness+dielectricPermitivity.iv,37,16.7262,1.247,,,0.866
thickness+dielectricPermitivity.iv,38,17.2498,1.296,,,0.866
thickness+dielectricPermitivity.iv,39,17.6615,1.347,,,0.866
thickness+dielectricPermitivity.iv,40,17.6309,1.4,,,0.866
thickness+dielectricPermitivity.iv,41,16.2376,1.2,,,1.14
thickness+dielectricPermitivity.iv,42,16.9456,1.247,,,1.14
thickness+dielectricPermitivity.iv,43,17.5749,1.296,,,1.14
thickness+dielectricPermitivity.iv,44,18.1083,1.347,,,1.14
thickness+dielectricPermitivity.iv,45,18.1835,1.4,,,1.14
thickness+dielectricPermitivity.iv,46,16.2554,1.2,,,1.5
thickness+dielectricPermitivity.iv,47,17.0386,1.247,,,1.5
thickness+dielectricPermitivity.iv,48,17.7246,1.296,,,1.5
thickness+dielectricPermitivity.iv,49,18.3344,1.347,,,1.5
thickness+dielectricPermitivity.iv,50,18.4769,1.4,,,1.5
thickness+dielectricPermitivity.iv,51,16.5568,,3.2,,0.5
thickness+dielectricPermitivity.iv,52,16.3709,,4.56,,0.5
thickness+dielectricPermitivity.iv,53,16.1311,,6.499,,0.5
thickness+dielectricPermitivity.iv,54,15.8783,,9.262,,0.5
thickness+dielectricPermitivity.iv,55,15.4735,,13.2,,0.5
thickness+dielectricPermitivity.iv,56,17.3863,,3.2,,0.658
thickness+dielectricPermitivity.iv,57,17.2028,,4.56,,0.658
thickness+dielectricPermitivity.iv,58,16.9641,,6.499,,0.658
thickness+dielectricPermitivity.iv,59,16.6229,,9.262,,0.658
thickness+dielectricPermitivity.iv,60,16.2108,,13.2,,0.658
thickness+dielectricPermitivity.iv,61,17.9689,,3.2,,0.866
thickness+dielectricPermitivity.iv,62,17.7522,,4.56,,0.866
thickness+dielectricPermitivity.iv,63,17.5157,,6.499,,0.866
thickness+dielectricPermitivity.iv,64,17.1765,,9.262,,0.866
thickness+dielectricPermitivity.iv,65,16.7168,,13.2,,0.866
thickness+dielectricPermitivity.iv,66,18.338,,3.2,,1.14
thickness+dielectricPermitivity.iv,67,18.0909,,4.56,,1.14
thickness+dielectricPermitivity.iv,68,17.8486,,6.499,,1.14
thickness+dielectricPermitivity.iv,69,17.5074,,9.262,,1.14
thickness+dielectricPermitivity.iv,70,17.0261,,13.2,,1.14
thickness+dielectricPermitivity.iv,71,18.5085,,3.2,,1.5
thickness+dielectricPermitivity.iv,72,18.258,,4.56,,1.5
thickness+dielectricPermitivity.iv,73,18.0081,,6.499,,1.5
thickness+dielectricPermitivity.iv,74,17.6628,,9.262,,1.5
thickness+dielectricPermitivity.iv,75,17.1741,,13.2,,1.5
