source_file,simulation_id,scan_point,thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness.iv,1,1,0.5,-0.1538,30.7600849,1.86447119,32.6414989,0.0613602615,1.65488118,0.128471566,0.0197581816,0.0613159016,4.43598811e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,2,0.5,-0.133516,30.7031632,1.90138913,32.6414989,0.0625388067,1.69060295,0.128477318,0.0197700622,0.0624905539,4.82528659e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,3,0.5,-0.113223,30.644565,1.9399873,32.6414989,0.0637656481,1.72795684,0.128483012,0.0197818006,0.063713092,5.25560607e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,4,0.5,-0.092921,30.5841934,1.98035864,32.6414989,0.0650440138,1.76703259,0.12848865,0.0197933856,0.064986692,5.73218312e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,5,0.5,-0.07261,30.5219529,2.02259909,32.6414989,0.0663774971,1.80792255,0.128494232,0.0198048053,0.0663148871,6.26100044e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,6,0.5,-0.052289,30.4577446,2.06680721,32.6414989,0.0677700973,1.85072131,0.128499756,0.0198160468,0.067701608,6.84893521e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,7,0.5,-0.031957,30.3914679,2.11308382,32.6414989,0.069226286,1.89552522,0.128505222,0.0198270962,0.069151247,7.50389775e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,8,0.5,-0.011615,30.3230199,2.16153152,32.6414989,0.070751084,1.94243186,0.128510631,0.0198379382,0.0706687341,8.23498905e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,9,0.5,0.008739,30.252297,2.21225426,32.6414989,0.0723501528,1.99153956,0.128515983,0.0198485568,0.0722596261,9.0526784e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,10,0.5,0.029104,30.1791942,2.26535697,32.6414989,0.0740299008,2.04294686,0.128521279,0.0198589348,0.0739302108,9.9690025e-05,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
